LON,LAT,RANGE,AZIMUTH,PROB,MAXSIZE
-101.51071,39.28777,144,101,-999,-999
-101.54573,39.12092,145,105,-999,-999
-79.30339,30.94023,127,77,-999,-999
-79.16383,31.71333,150,60,-999,-999
-81.61058,28.16362,139,178,-999,-999
-80.50705,29.46988,87,134,30,0.5
-79.56591,30.37046,111,93,50,0.5
-79.86121,29.42555,115,123,50,0.5
-79.38274,30.85328,122,79,70,0.5
-102.18623,42.04385,128,167,-999,-999
-80.58845,22.14493,159,157,-999,-999
-80.97937,26.59871,126,18,-999,-999
-101.3085,29.01951,147,197,-999,-999
-101.65175,29.07608,150,204,-999,-999
-101.71206,28.9533,158,204,-999,-999
-99.9264,36.58403,141,341,-999,-999
-100.38544,36.58528,150,333,-999,-999
-101.28162,35.6101,136,304,-999,-999
-100.07615,36.78881,155,340,-999,-999
-100.70874,36.58694,158,328,-999,-999
-100.80149,35.68896,120,312,100,0.5
-88.41271,35.72303,75,72,10,0.5
-89.41873,35.81761,36,38,20,0.5
-87.43754,35.77864,122,77,20,0.5
-88.67702,35.733,63,68,60,0.5
-88.98288,35.6803,48,65,70,0.5
-88.49877,35.59627,69,77,70,0.5
-88.77797,35.26149,54,95,70,0.5
-89.21743,35.89549,46,44,80,1
-88.69116,35.35612,58,89,100,1
-89.23734,35.87238,132,261,-999,-999
-87.501,35.76575,54,238,20,0.5
-88.42101,35.71088,96,251,30,0.5
-88.98165,35.65657,123,254,80,0.5
-88.70495,35.33353,118,243,90,1
-78.6515,32.64949,81,188,10,0.5
-101.29943,29.0183,181,165,-999,-999
-104.07757,29.7405,164,217,-999,-999
-104.44122,30.84587,133,241,-999,-999
-101.71102,28.94688,181,172,-999,-999
-103.5305,31.39948,76,245,70,0.5
-86.34785,36.13877,18,58,10,0.5
-86.35484,36.0753,16,69,50,0.5
-88.772,35.19862,112,180,10,0.5
-88.41886,35.71257,83,168,20,0.5
-88.5189,35.59684,89,172,80,0.5
-88.98384,35.65982,85,187,80,0.75
-89.21574,35.88619,74,197,90,1
-88.69878,35.34993,103,178,100,1
-101.52703,39.14167,131,71,-999,-999
-101.51422,39.26733,134,68,-999,-999
-101.47309,39.45288,140,64,-999,-999
-90.39588,27.9492,146,192,-999,-999
-90.24097,28.24642,127,190,-999,-999
-90.82114,27.59913,172,198,-999,-999
-89.47112,28.10255,135,172,-999,-999
-90.95761,27.39245,186,199,-999,-999
-90.72088,28.15122,139,200,-999,-999
-89.825,32.20785,112,360,10,0.5
-89.90805,32.35697,121,358,50,0.5
-89.6702,32.21987,113,4,90,0.75
-89.33053,32.15898,112,13,100,1.5
-81.6359,28.16074,49,56,10,0.5
-84.88128,30.62376,54,86,70,0.5
-101.39167,39.75857,137,196,-999,-999
-101.5452,39.13386,175,195,-999,-999
-101.4386,39.45732,155,195,-999,-999
-101.24107,39.90085,127,194,-999,-999
-101.99683,41.74241,65,259,20,0.5
-102.11678,42.00788,69,273,20,0.5
-102.00256,41.89329,64,267,60,0.5
-101.30729,40.41997,98,200,60,0.5
-101.98528,41.54302,68,249,70,0.5
-89.88712,32.39517,133,321,-999,-999
-100.81839,35.66245,130,22,-999,-999
-89.90052,32.18328,124,317,40,0.5
-90.33675,31.28209,114,289,60,0.5
-89.66707,32.22439,118,322,90,0.5
-89.33227,32.16176,105,328,100,1.25
-101.99656,41.48992,128,354,-999,-999
-101.32719,40.42967,66,15,30,0.5
-101.49919,39.49278,12,51,60,0.5
-101.50233,39.30166,10,113,80,0.75
-101.54911,39.146,15,152,90,1
-89.22562,35.89841,162,66,-999,-999
-101.09351,36.82899,143,273,-999,-999
-100.85363,35.67258,147,245,-999,-999
